集計年,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,E,製造業,50～54歳,36.6569,118.2626,558.1449
2010,E,製造業,55～59歳,35.1469,108.9671,530.7297
2010,E,製造業,60～64歳,23.8592,50.5467,336.8567
2010,E,製造業,65～69歳,21.194,26.0191,280.3465
2010,E,製造業,70歳～,19.7634,20.6987,257.8597
2010,F,電気・ガス・熱供給・水道業,年齢計,39.9261,160.3722,639.485
2010,F,電気・ガス・熱供給・水道業,～19歳,17.4861,29.5544,239.3871
2010,F,電気・ガス・熱供給・水道業,20～24歳,20.5157,66.3251,312.5138
2010,F,電気・ガス・熱供給・水道業,25～29歳,26.5367,101.158,419.5987
2010,F,電気・ガス・熱供給・水道業,30～34歳,32.1377,127.2636,512.9165
2010,F,電気・ガス・熱供給・水道業,35～39歳,38.1335,150.9829,608.5845
2010,F,電気・ガス・熱供給・水道業,40～44歳,44.7159,181.0398,717.6301
2010,F,電気・ガス・熱供給・水道業,45～49歳,50.4006,212.8505,817.6579
2010,F,電気・ガス・熱供給・水道業,50～54歳,52.7537,223.2001,856.2442
2010,F,電気・ガス・熱供給・水道業,55～59歳,49.1539,200.255,790.1023
2010,F,電気・ガス・熱供給・水道業,60～64歳,27.8591,98.67,432.9787
2010,F,電気・ガス・熱供給・水道業,65～69歳,25.6535,77.4188,385.2604
2010,F,電気・ガス・熱供給・水道業,70歳～,21.6775,41.9675,302.0975
2010,G,情報通信業,年齢計,36.3342,110.7938,546.804
2010,G,情報通信業,～19歳,16.614,7.5354,206.9037
2010,G,情報通信業,20～24歳,22.0262,35.9215,300.2357
2010,G,情報通信業,25～29歳,25.0227,66.141,366.4134
2010,G,情報通信業,30～34歳,30.5663,89.9644,456.7601
2010,G,情報通信業,35～39歳,37.1055,112.2689,557.5348
2010,G,情報通信業,40～44歳,41.918,144.4702,647.4861
2010,G,情報通信業,45～49歳,49.2548,161.1259,752.1833
2010,G,情報通信業,50～54歳,55.6706,189.5698,857.6164
2010,G,情報通信業,55～59歳,50.9547,170.7986,782.2552
2010,G,情報通信業,60～64歳,32.3151,82.7486,470.53
2010,G,情報通信業,65～69歳,43.0037,42.8992,558.9434
2010,G,情報通信業,70歳～,38.7946,61.2554,526.7908
2010,H,運輸業，郵便業,年齢計,26.1502,53.783,367.5855
2010,H,運輸業，郵便業,～19歳,16.9853,20.2487,224.0724
2010,H,運輸業，郵便業,20～24歳,19.968,39.6527,279.2687
2010,H,運輸業，郵便業,25～29歳,22.5675,48.0223,318.8322
2010,H,運輸業，郵便業,30～34歳,24.9728,51.4736,351.1474
2010,H,運輸業，郵便業,35～39歳,26.9897,54.7554,378.6322
2010,H,運輸業，郵便業,40～44歳,28.5901,56.5241,399.6054
2010,H,運輸業，郵便業,45～49歳,29.4726,65.6252,419.2959
2010,H,運輸業，郵便業,50～54歳,30.0653,75.7461,436.5297
2010,H,運輸業，郵便業,55～59歳,26.9442,56.2975,379.6278
2010,H,運輸業，郵便業,60～64歳,20.965,28.3106,279.891
2010,H,運輸業，郵便業,65～69歳,17.8765,13.7587,228.2762
2010,H,運輸業，郵便業,70歳～,16.7914,10.8054,212.3023
2010,I,卸売業，小売業,年齢計,29.7665,75.2904,432.4887
2010,I,卸売業，小売業,～19歳,16.7487,8.6562,209.6411
2010,I,卸売業，小売業,20～24歳,19.4302,29.7534,262.9155
2010,I,卸売業，小売業,25～29歳,22.5845,51.7155,322.729
2010,I,卸売業，小売業,30～34歳,26.6773,67.4504,387.5783
2010,I,卸売業，小売業,35～39歳,30.1049,80.6874,441.9459
2010,I,卸売業，小売業,40～44歳,34.0936,95.9632,505.0859
2010,I,卸売業，小売業,45～49歳,36.546,104.7371,543.2894
2010,I,卸売業，小売業,50～54歳,37.5052,100.2827,550.3447
2010,I,卸売業，小売業,55～59歳,36.2217,93.424,528.0845
2010,I,卸売業，小売業,60～64歳,25.7103,38.5447,347.068
2010,I,卸売業，小売業,65～69歳,22.9141,25.0701,300.0393
2010,I,卸売業，小売業,70歳～,22.2254,26.0204,292.7252
2010,J,金融業，保険業,年齢計,36.3963,131.374,568.1294
2010,J,金融業，保険業,～19歳,15.7765,16.7267,206.0441
2010,J,金融業，保険業,20～24歳,20.22,43.932,286.572
2010,J,金融業，保険業,25～29歳,24.525,88.6458,382.9461
2010,J,金融業，保険業,30～34歳,30.8896,115.1825,485.8581
2010,J,金融業，保険業,35～39歳,36.834,137.9349,579.9434
2010,J,金融業，保険業,40～44歳,45.5783,178.1429,725.0825
2010,J,金融業，保険業,45～49歳,47.6309,186.0113,757.5826
2010,J,金融業，保険業,50～54歳,47.9932,184.4324,760.3513
2010,J,金融業，保険業,55～59歳,42.0304,137.1411,641.5061
2010,J,金融業，保険業,60～64歳,30.4821,81.7089,447.494
2010,J,金融業，保険業,65～69歳,29.2368,74.5061,425.3474
2010,J,金融業，保険業,70歳～,24.7666,53.3606,350.5596
2010,K,不動産業，物品賃貸業,年齢計,31.4633,85.199,462.7582
2010,K,不動産業，物品賃貸業,～19歳,16.8896,10.6697,213.3445
2010,K,不動産業，物品賃貸業,20～24歳,22.0016,31.8246,295.8432
2010,K,不動産業，物品賃貸業,25～29歳,24.9216,59.6695,358.7283
2010,K,不動産業，物品賃貸業,30～34歳,28.0749,77.7049,414.6037
2010,K,不動産業，物品賃貸業,35～39歳,33.2278,102.1069,500.8404
2010,K,不動産業，物品賃貸業,40～44歳,37.5207,113.838,564.0864
2010,K,不動産業，物品賃貸業,45～49歳,38.1705,111.158,569.2042
2010,K,不動産業，物品賃貸業,50～54歳,40.3865,120.7616,605.3998
2010,K,不動産業，物品賃貸業,55～59歳,36.9176,103.1274,546.1391
2010,K,不動産業，物品賃貸業,60～64歳,27.7204,54.0024,386.6466
2010,K,不動産業，物品賃貸業,65～69歳,21.3625,27.1324,283.4823
2010,K,不動産業，物品賃貸業,70歳～,21.0964,24.0526,277.209
2010,L,学術研究，専門・技術サービス業,年齢計,38.0492,106.4045,562.9954
2010,L,学術研究，専門・技術サービス業,～19歳,17.2791,16.0996,223.4491
2010,L,学術研究，専門・技術サービス業,20～24歳,20.2173,33.6058,276.2133
2010,L,学術研究，専門・技術サービス業,25～29歳,25.2827,62.0368,365.4295
2010,L,学術研究，専門・技術サービス業,30～34歳,32.1504,73.0228,458.8278
2010,L,学術研究，専門・技術サービス業,35～39歳,36.4532,94.6752,532.1131
2010,L,学術研究，専門・技術サービス業,40～44歳,41.2836,133.1195,628.5221
2010,L,学術研究，専門・技術サービス業,45～49歳,48.1212,155.5904,733.0443
2010,L,学術研究，専門・技術サービス業,50～54歳,50.283,171.8953,775.2912
2010,L,学術研究，専門・技術サービス業,55～59歳,48.9415,148.3371,735.6347
2010,L,学術研究，専門・技術サービス業,60～64歳,40.3056,97.7138,581.3813
2010,L,学術研究，専門・技術サービス業,65～69歳,37.7987,43.1674,496.7514
2010,L,学術研究，専門・技術サービス業,70歳～,22.2343,14.2655,281.077
2010,M,宿泊業，飲食サービス業,年齢計,23.6797,28.0277,312.1842
2010,M,宿泊業，飲食サービス業,～19歳,15.4772,4.059,189.7856
2010,M,宿泊業，飲食サービス業,20～24歳,17.6275,15.0413,226.5717
2010,M,宿泊業，飲食サービス業,25～29歳,20.7575,24.255,273.3453
2010,M,宿泊業，飲食サービス業,30～34歳,23.9348,31.8773,319.0945
2010,M,宿泊業，飲食サービス業,35～39歳,26.4218,38.8898,355.9518
2010,M,宿泊業，飲食サービス業,40～44歳,27.1467,38.0799,363.8402
2010,M,宿泊業，飲食サービス業,45～49歳,28.0494,39.6229,376.2157
2010,M,宿泊業，飲食サービス業,50～54歳,26.9378,31.346,354.5991
2010,M,宿泊業，飲食サービス業,55～59歳,25.193,27.0519,329.3675
2010,M,宿泊業，飲食サービス業,60～64歳,20.8565,12.0425,262.3205
2010,M,宿泊業，飲食サービス業,65～69歳,19.382,9.8355,242.419
2010,M,宿泊業，飲食サービス業,70歳～,19.1028,4.9749,234.2082
2010,N,生活関連サービス業，娯楽業,年齢計,24.9811,36.5679,336.3414
2010,N,生活関連サービス業，娯楽業,～19歳,17.2922,4.3997,211.9057
2010,N,生活関連サービス業，娯楽業,20～24歳,18.85,13.3414,239.5413
2010,N,生活関連サービス業，娯楽業,25～29歳,22.0314,28.136,292.5123
2010,N,生活関連サービス業，娯楽業,30～34歳,25.8876,39.5553,350.2066
2010,N,生活関連サービス業，娯楽業,35～39歳,28.2901,50.5008,389.9819
2010,N,生活関連サービス業，娯楽業,40～44歳,30.2313,53.9845,416.7598
2010,N,生活関連サービス業，娯楽業,45～49歳,29.1812,52.6703,402.8444
2010,N,生活関連サービス業，娯楽業,50～54歳,29.651,50.4367,406.2491
2010,N,生活関連サービス業，娯楽業,55～59歳,25.8801,39.6132,350.1738
2010,N,生活関連サービス業，娯楽業,60～64歳,21.5835,22.9255,281.9275
2010,N,生活関連サービス業，娯楽業,65～69歳,18.5227,13.3574,235.6296
2010,N,生活関連サービス業，娯楽業,70歳～,17.7326,10.9107,223.7019
2010,O,教育，学習支援業,年齢計,38.6217,142.5131,605.9736
2010,O,教育，学習支援業,～19歳,16.7691,6.6566,207.8855
2010,O,教育，学習支援業,20～24歳,19.6554,36.3318,272.197
2010,O,教育，学習支援業,25～29歳,23.537,64.5364,346.9799
2010,O,教育，学習支援業,30～34歳,29.3682,90.4594,442.8782
2010,O,教育，学習支援業,35～39歳,35.626,124.8501,552.3616
2010,O,教育，学習支援業,40～44歳,41.3423,158.7042,654.812
2010,O,教育，学習支援業,45～49歳,45.938,183.6462,734.9023
2010,O,教育，学習支援業,50～54歳,50.0648,203.6963,804.4744
2010,O,教育，学習支援業,55～59歳,52.9329,219.3898,854.5845
2010,O,教育，学習支援業,60～64歳,50.8498,211.5401,821.7375
2010,O,教育，学習支援業,65～69歳,49.7118,201.9275,798.4691
2010,O,教育，学習支援業,70歳～,39.4422,130.9237,604.2304
2010,P,医療，福祉,年齢計,27.2059,69.4171,395.8878
2010,P,医療，福祉,～19歳,15.673,7.5387,195.6153
2010,P,医療，福祉,20～24歳,19.9337,37.356,276.5604
2010,P,医療，福祉,25～29歳,23.0865,59.6571,336.6954
2010,P,医療，福祉,30～34歳,25.1658,64.5601,366.5497
2010,P,医療，福祉,35～39歳,28.3902,72.2181,412.9006
2010,P,医療，福祉,40～44歳,29.6283,79.3179,434.8572
2010,P,医療，福祉,45～49歳,31.1943,84.7406,459.0723
2010,P,医療，福祉,50～54歳,31.4282,87.5269,464.6658
2010,P,医療，福祉,55～59歳,31.2014,86.6298,461.0463
2010,P,医療，福祉,60～64歳,28.7159,67.179,411.7703
2010,P,医療，福祉,65～69歳,34.5313,58.0439,472.4191
2010,P,医療，福祉,70歳～,45.196,72.1191,614.4708
2010,Q,複合サービス事業,年齢計,27.7166,99.7818,432.3814
2010,Q,複合サービス事業,～19歳,14.942,18.8494,198.1529
2010,Q,複合サービス事業,20～24歳,17.8248,42.7208,256.6185
2010,Q,複合サービス事業,25～29歳,19.9025,72.3029,311.1331
2010,Q,複合サービス事業,30～34歳,23.0996,82.1131,359.3077
2010,Q,複合サービス事業,35～39歳,26.3988,101.0066,417.7917
2010,Q,複合サービス事業,40～44歳,29.8175,117.8182,475.6277
2010,Q,複合サービス事業,45～49歳,33.318,129.6716,529.4876
2010,Q,複合サービス事業,50～54歳,35.4411,130.5585,555.8511
2010,Q,複合サービス事業,55～59歳,35.2908,125.2567,548.7458
2010,Q,複合サービス事業,60～64歳,22.6133,44.4814,315.8412
2010,Q,複合サービス事業,65～69歳,21.5844,30.5718,289.5845
2010,Q,複合サービス事業,70歳～,19.4487,14.7539,248.1384
2010,R,サービス業（他に分類されないもの）,年齢計,25.1197,50.4942,351.9311
2010,R,サービス業（他に分類されないもの）,～19歳,16.4923,13.7679,211.676
2010,R,サービス業（他に分類されないもの）,20～24歳,18.3495,25.2666,245.4602
2010,R,サービス業（他に分類されないもの）,25～29歳,21.2,36.2916,290.692
2010,R,サービス業（他に分類されないもの）,30～34歳,23.6823,44.7346,328.9223
2010,R,サービス業（他に分類されないもの）,35～39歳,25.8456,52.2546,362.402
2010,R,サービス業（他に分類されないもの）,40～44歳,28.3143,62.7869,402.558
2010,R,サービス業（他に分類されないもの）,45～49歳,29.763,71.0335,428.1897
2010,R,サービス業（他に分類されないもの）,50～54歳,28.9356,67.09,414.3176
2010,R,サービス業（他に分類されないもの）,55～59歳,28.2046,64.2905,402.7452
2010,R,サービス業（他に分類されないもの）,60～64歳,21.5016,33.553,291.5722
2010,R,サービス業（他に分類されないもの）,65～69歳,18.9108,17.7158,244.645
2010,R,サービス業（他に分類されないもの）,70歳～,18.0075,15.7978,231.8877
2011,C,鉱業，採石業，砂利採取業,年齢計,30.2669,99.222,462.425
2011,C,鉱業，採石業，砂利採取業,～19歳,16.6622,35.1089,235.0556
2011,C,鉱業，採石業，砂利採取業,20～24歳,19.415,63.7238,296.7038
2011,C,鉱業，採石業，砂利採取業,25～29歳,24.1973,80.7406,371.108
2011,C,鉱業，採石業，砂利採取業,30～34歳,25.7107,85.0825,393.6109
2011,C,鉱業，採石業，砂利採取業,35～39歳,27.366,80.2589,408.6509
2011,C,鉱業，採石業，砂利採取業,40～44歳,31.204,110.706,485.154
2011,C,鉱業，採石業，砂利採取業,45～49歳,33.6947,124.3076,528.6439
2011,C,鉱業，採石業，砂利採取業,50～54歳,37.2723,146.7605,594.0283
2011,C,鉱業，採石業，砂利採取業,55～59歳,34.7234,115.971,532.6518
2011,C,鉱業，採石業，砂利採取業,60～64歳,24.925,43.0062,342.1058
2011,C,鉱業，採石業，砂利採取業,65～69歳,22.7562,31.5212,304.595
2011,C,鉱業，採石業，砂利採取業,70歳～,22.4913,20.9313,290.8263
2011,D,建設業,年齢計,31.3331,68.1807,444.1775
2011,D,建設業,～19歳,17.8311,9.5276,223.5011
2011,D,建設業,20～24歳,20.3179,35.5099,279.3244
2011,D,建設業,25～29歳,23.311,51.1121,330.8436
2011,D,建設業,30～34歳,26.6709,56.6589,376.71
2011,D,建設業,35～39歳,30.5502,70.6311,437.2331
2011,D,建設業,40～44歳,34.1503,79.0406,488.8437
2011,D,建設業,45～49歳,36.19,85.6506,519.9303
2011,D,建設業,50～54歳,37.594,87.7279,538.8564
2011,D,建設業,55～59歳,37.859,86.5416,540.8497
2011,D,建設業,60～64歳,29.5287,46.8973,401.2417
2011,D,建設業,65～69歳,24.4562,18.5818,312.0565
2011,D,建設業,70歳～,21.3898,14.5277,271.2048
2011,E,製造業,年齢計,28.9068,89.2079,436.089
2011,E,製造業,～19歳,17.0813,13.8839,218.8599
2011,E,製造業,20～24歳,18.901,44.9563,271.7682
2011,E,製造業,25～29歳,22.1549,62.4115,328.2698
2011,E,製造業,30～34歳,24.9287,73.9296,373.0734
2011,E,製造業,35～39歳,28.5417,90.0632,432.5632
2011,E,製造業,40～44歳,32.1842,106.4753,492.6852
2011,E,製造業,45～49歳,35.6588,122.8322,550.7376
2011,E,製造業,50～54歳,35.8145,119.0137,548.7882
2011,E,製造業,55～59歳,34.5997,112.1502,527.3469
2011,E,製造業,60～64歳,23.282,49.7491,329.1326
2011,E,製造業,65～69歳,22.2666,27.1525,294.3522
2011,E,製造業,70歳～,22.4698,23.0761,292.7138
2011,F,電気・ガス・熱供給・水道業,年齢計,40.054,168.0114,648.6591
2011,F,電気・ガス・熱供給・水道業,～19歳,17.2742,30.6588,237.9497
2011,F,電気・ガス・熱供給・水道業,20～24歳,20.1919,71.228,313.5312
2011,F,電気・ガス・熱供給・水道業,25～29歳,26.6755,105.9837,426.0895
2011,F,電気・ガス・熱供給・水道業,30～34歳,32.8625,135.4563,529.8067
2011,F,電気・ガス・熱供給・水道業,35～39歳,37.8577,157.1574,611.4503
2011,F,電気・ガス・熱供給・水道業,40～44歳,44.7365,188.031,724.8694
2011,F,電気・ガス・熱供給・水道業,45～49歳,50.855,221.5145,831.7743
2011,F,電気・ガス・熱供給・水道業,50～54歳,53.8164,237.6143,883.4115
2011,F,電気・ガス・熱供給・水道業,55～59歳,50.589,218.8175,825.8851
2011,F,電気・ガス・熱供給・水道業,60～64歳,26.7153,109.6253,430.2087
2011,F,電気・ガス・熱供給・水道業,65～69歳,23.9981,66.4159,354.3937
2011,F,電気・ガス・熱供給・水道業,70歳～,21.006,58.8,310.872
2011,G,情報通信業,年齢計,37.8393,115.9328,570.0048
2011,G,情報通信業,～19歳,15.9286,37.7794,228.9225
2011,G,情報通信業,20～24歳,22.3179,31.1876,299.0028
2011,G,情報通信業,25～29歳,25.809,67.0223,376.73
2011,G,情報通信業,30～34歳,31.7843,86.925,468.3371
2011,G,情報通信業,35～39歳,37.2299,114.1313,560.8901
2011,G,情報通信業,40～44歳,43.6225,145.9687,669.4385
2011,G,情報通信業,45～49歳,51.06,176.744,789.4642
2011,G,情報通信業,50～54歳,58.8171,211.2577,917.0626
2011,G,情報通信業,55～59歳,50.6491,165.0012,772.7904
2011,G,情報通信業,60～64歳,35.3579,99.8061,524.1007
2011,G,情報通信業,65～69歳,39.406,79.1115,551.984
2011,G,情報通信業,70歳～,25.6163,23.3963,330.7913
2011,H,運輸業，郵便業,年齢計,25.7744,52.8938,362.1862
2011,H,運輸業，郵便業,～19歳,17.1469,17.8459,223.6081
2011,H,運輸業，郵便業,20～24歳,19.7631,41.4619,278.6192
2011,H,運輸業，郵便業,25～29歳,22.0329,50.5195,314.9137
2011,H,運輸業，郵便業,30～34歳,24.4782,51.5434,345.2822
2011,H,運輸業，郵便業,35～39歳,26.212,55.4498,369.9941
2011,H,運輸業，郵便業,40～44歳,27.5335,52.5054,382.907
2011,H,運輸業，郵便業,45～49歳,28.7272,63.7561,408.4826
2011,H,運輸業，郵便業,50～54歳,29.4413,73.1529,426.4483
2011,H,運輸業，郵便業,55～59歳,26.7629,56.242,377.3967
2011,H,運輸業，郵便業,60～64歳,21.3539,26.3873,282.6338
2011,H,運輸業，郵便業,65～69歳,19.6594,15.9382,251.8511
2011,H,運輸業，郵便業,70歳～,19.3049,11.9768,243.6352
2011,I,卸売業，小売業,年齢計,28.8959,74.4206,421.1715
2011,I,卸売業，小売業,～19歳,15.5754,6.0597,192.9642
2011,I,卸売業，小売業,20～24歳,19.011,29.2141,257.3461
2011,I,卸売業，小売業,25～29歳,22.3515,54.6103,322.8285
2011,I,卸売業，小売業,30～34歳,25.4919,67.1824,373.0849
2011,I,卸売業，小売業,35～39歳,29.3792,78.9138,431.4636
2011,I,卸売業，小売業,40～44歳,33.1609,92.7695,490.7002
2011,I,卸売業，小売業,45～49歳,35.1776,99.8336,521.9648
2011,I,卸売業，小売業,50～54歳,36.0342,104.4981,536.9087
2011,I,卸売業，小売業,55～59歳,35.5567,87.706,514.3866
2011,I,卸売業，小売業,60～64歳,24.4652,39.6562,333.2389
2011,I,卸売業，小売業,65～69歳,20.9961,29.3419,281.2954
2011,I,卸売業，小売業,70歳～,19.702,21.3914,257.8151
2011,J,金融業，保険業,年齢計,39.0577,141.1555,609.8476
2011,J,金融業，保険業,～19歳,15.3897,14.3819,199.0578
2011,J,金融業，保険業,20～24歳,20.7402,43.487,292.3699
2011,J,金融業，保険業,25～29歳,25.2569,87.8847,390.9673
2011,J,金融業，保険業,30～34歳,34.1475,126.8637,536.634
2011,J,金融業，保険業,35～39歳,40.8173,150.1797,639.9869
2011,J,金融業，保険業,40～44歳,47.3114,188.4024,756.1396
2011,J,金融業，保険業,45～49歳,52.1117,208.1251,833.4655
2011,J,金融業，保険業,50～54歳,49.2512,180.1092,771.1238
2011,J,金融業，保険業,55～59歳,43.6085,145.2058,668.508
2011,J,金融業，保険業,60～64歳,29.9297,79.0826,438.2386
2011,J,金融業，保険業,65～69歳,31.1335,67.5982,441.1998
2011,J,金融業，保険業,70歳～,32.2853,61.031,448.4548
2011,K,不動産業，物品賃貸業,年齢計,32.1628,89.4282,475.3816
2011,K,不動産業，物品賃貸業,～19歳,17.0763,3.01,207.9257
2011,K,不動産業，物品賃貸業,20～24歳,20.6853,31.6416,279.8652
2011,K,不動産業，物品賃貸業,25～29歳,24.3381,65.2258,357.2831
2011,K,不動産業，物品賃貸業,30～34歳,28.4798,77.4961,419.2532
2011,K,不動産業，物品賃貸業,35～39歳,32.9154,97.957,492.9424
2011,K,不動産業，物品賃貸業,40～44歳,37.87,116.273,570.7127
2011,K,不動産業，物品賃貸業,45～49歳,40.3113,125.1257,608.8619
2011,K,不動産業，物品賃貸業,50～54歳,41.0626,127.2275,619.9781
2011,K,不動産業，物品賃貸業,55～59歳,39.1974,112.9374,583.3062
2011,K,不動産業，物品賃貸業,60～64歳,26.5222,46.5849,364.8518
2011,K,不動産業，物品賃貸業,65～69歳,21.0781,30.6125,283.5496
2011,K,不動産業，物品賃貸業,70歳～,22.1487,30.1769,295.9616
2011,L,学術研究，専門・技術サービス業,年齢計,37.2477,125.5903,572.5623
2011,L,学術研究，専門・技術サービス業,～19歳,16.5162,14.6771,212.8714
2011,L,学術研究，専門・技術サービス業,20～24歳,21.8733,44.2992,306.7794
2011,L,学術研究，専門・技術サービス業,25～29歳,25.506,82.4429,388.5153
2011,L,学術研究，専門・技術サービス業,30～34歳,30.7053,103.4075,471.871
2011,L,学術研究，専門・技術サービス業,35～39歳,35.1367,113.9998,535.6401
2011,L,学術研究，専門・技術サービス業,40～44歳,41.6498,148.3196,648.1169
2011,L,学術研究，専門・技術サービス業,45～49歳,48.3824,173.6394,754.2283
2011,L,学術研究，専門・技術サービス業,50～54歳,51.1978,184.9838,799.3579
2011,L,学術研究，専門・技術サービス業,55～59歳,48.0048,172.8967,748.9546
2011,L,学術研究，専門・技術サービス業,60～64歳,35.4288,95.7274,520.8727
2011,L,学術研究，専門・技術サービス業,65～69歳,29.3777,59.9898,412.5217
2011,L,学術研究，専門・技術サービス業,70歳～,35.5232,47.9634,474.2417
2011,M,宿泊業，飲食サービス業,年齢計,23.6757,31.1636,315.2726
2011,M,宿泊業，飲食サービス業,～19歳,15.1399,3.3363,185.0155
2011,M,宿泊業，飲食サービス業,20～24歳,17.5483,14.565,225.1447
2011,M,宿泊業，飲食サービス業,25～29歳,20.4111,25.8885,270.8216
2011,M,宿泊業，飲食サービス業,30～34歳,23.4109,34.8549,315.7855
2011,M,宿泊業，飲食サービス業,35～39歳,26.3796,42.1438,358.6991
2011,M,宿泊業，飲食サービス業,40～44歳,27.5042,42.0368,372.0869
2011,M,宿泊業，飲食サービス業,45～49歳,28.6497,43.8455,387.6423
2011,M,宿泊業，飲食サービス業,50～54歳,27.449,37.4834,366.8711
2011,M,宿泊業，飲食サービス業,55～59歳,25.1627,30.6258,332.5782
2011,M,宿泊業，飲食サービス業,60～64歳,20.4342,15.4006,260.6111
2011,M,宿泊業，飲食サービス業,65～69歳,19.3278,9.2541,241.1883
2011,M,宿泊業，飲食サービス業,70歳～,18.2997,8.2315,227.8278
2011,N,生活関連サービス業，娯楽業,年齢計,25.0742,36.7892,337.6798
2011,N,生活関連サービス業，娯楽業,～19歳,17.0881,4.5266,209.5836
2011,N,生活関連サービス業，娯楽業,20～24歳,18.8116,12.3062,238.045
2011,N,生活関連サービス業，娯楽業,25～29歳,21.4223,26.748,283.8157
2011,N,生活関連サービス業，娯楽業,30～34歳,25.3538,39.4557,343.7018
2011,N,生活関連サービス業，娯楽業,35～39歳,28.3024,49.8665,389.4957
2011,N,生活関連サービス業，娯楽業,40～44歳,29.8259,51.4002,409.3106
2011,N,生活関連サービス業，娯楽業,45～49歳,29.9224,53.1171,412.1859
2011,N,生活関連サービス業，娯楽業,50～54歳,29.5033,51.2712,405.311
2011,N,生活関連サービス業，娯楽業,55～59歳,27.1655,43.6045,369.5905
2011,N,生活関連サービス業，娯楽業,60～64歳,21.3556,21.5128,277.7802
2011,N,生活関連サービス業，娯楽業,65～69歳,19.2521,13.1513,244.1769
2011,N,生活関連サービス業，娯楽業,70歳～,20.1309,13.726,255.2965
2011,O,教育，学習支援業,年齢計,38.9169,143.079,610.0816
2011,O,教育，学習支援業,～19歳,14.5619,3.7719,178.5149
2011,O,教育，学習支援業,20～24歳,19.7365,38.0663,274.9049
2011,O,教育，学習支援業,25～29歳,24.1401,66.2848,355.9664
2011,O,教育，学習支援業,30～34歳,29.3215,85.6257,437.4842
2011,O,教育，学習支援業,35～39歳,35.5148,117.0492,543.2268
2011,O,教育，学習支援業,40～44歳,40.5388,153.8741,640.3399
2011,O,教育，学習支援業,45～49歳,45.4453,179.0212,724.3649
2011,O,教育，学習支援業,50～54歳,50.2906,208.0531,811.5408
2011,O,教育，学習支援業,55～59歳,52.4722,219.6459,849.3128
2011,O,教育，学習支援業,60～64歳,50.9334,213.0347,824.2353
2011,O,教育，学習支援業,65～69歳,51.309,209.5341,825.2426
2011,O,教育，学習支援業,70歳～,37.449,132.0995,581.4871
2011,P,医療，福祉,年齢計,27.3101,70.1416,397.8622
2011,P,医療，福祉,～19歳,15.5584,7.5308,194.231
2011,P,医療，福祉,20～24歳,20.3058,37.6219,281.2914
2011,P,医療，福祉,25～29歳,23.0229,61.3683,337.6426
2011,P,医療，福祉,30～34歳,25.5984,70.2365,377.4175
2011,P,医療，福祉,35～39歳,28.3955,74.7058,415.4521
2011,P,医療，福祉,40～44歳,30.466,83.1579,448.7498
2011,P,医療，福祉,45～49歳,30.8193,82.0199,451.8514
